,date, dc_sales, dc_profits, inflation, unemployment, tbill, natsales, dc_sales_chg, dc_profits_chg, natsales_chg,unempl_pct_chg,infl_pct_chg
34,2011-04-01,474246463,57846242,0.0064,0.091,0.0345,21954,-0.04235915234431824,-0.055447387140591935,-0.07810531620055429,-0.08080808080808088,2.7647058823529416
35,2011-05-01,503528716,61021575,0.0047,0.09,0.0317,23132,0.061744799981776566,0.05489264108116133,0.0536576478090553,-0.0625,4.875
36,2011-06-01,569172539,69055647,-0.0011,0.091,0.03,23111,0.13036758562941622,0.13165953189507154,-0.0009078333045132284,-0.03191489361702127,0.10000000000000009
37,2011-07-01,583195018,70807089,0.0009,0.09,0.0299,21665,0.024636604964527284,0.025362762874410544,-0.06256760849811778,-0.042553191489361764,3.5
38,2011-08-01,595382103,72805934,0.0028,0.09,0.0228,24423,0.02089710066761921,0.028229447478062542,0.12730210016155089,-0.052631578947368474,1.0
39,2011-09-01,578340059,69876357,0.0015,0.09,0.0197,23447,-0.02862370889908997,-0.0402381624552746,-0.039962330590017615,-0.052631578947368474,1.5000000000000004
40,2011-10-01,588383976,70765687,-0.0021,0.08800000000000001,0.0215,24091,0.017366801492822062,0.012727194693335258,0.02746620036678466,-0.06382978723404242,-2.75
41,2011-11-01,579279782,70878230,-0.0008,0.086,0.0201,29238,-0.015473218801594284,0.0015903611590741714,0.2136482503839608,-0.12244897959183687,-3.0
42,2011-12-01,586763385,71926856,-0.0025,0.085,0.0197,36937,0.01291880578701088,0.014794754327245476,0.2633217046309597,-0.08602150537634412,-2.4705882352941178
43,2012-01-01,836933916,101907073,0.0044,0.083,0.0197,24739,0.4263567519639965,0.41681534085126704,-0.3302379727644367,-0.08791208791208782,-0.08333333333333315
44,2012-02-01,822664380,99284441,0.0044,0.083,0.0197,24202,-0.017049776245416252,-0.02573552475597057,-0.021706617082339626,-0.07777777777777772,-0.1020408163265305
45,2012-03-01,874745888,106408746,0.0076,0.08199999999999999,0.0218,25943,0.06330832994130607,0.0717565101665829,0.07193620361953558,-0.08888888888888902,-0.22448979591836737
46,2012-04-01,908189807,111356756,0.003,0.08199999999999999,0.0205,24432,0.03823272502196661,0.04650003111586335,-0.05824307134872605,-0.098901098901099,-0.53125
47,2012-05-01,941270911,113246829,-0.0012,0.08199999999999999,0.018000000000000002,26384,0.036425319624843584,0.016973132730267394,0.07989521938441388,-0.08888888888888902,-1.2553191489361701
48,2012-06-01,391451575,46994162,-0.0015,0.08199999999999999,0.0163,25035,-0.5841244317386538,-0.5850288929502829,-0.051129472407519715,-0.098901098901099,0.36363636363636354
49,2012-07-01,423665649,51786601,-0.0016,0.08199999999999999,0.0153,25015,0.08229389292915733,0.10197945438414244,-0.0007988815658078691,-0.08888888888888902,-2.7777777777777777
50,2012-08-01,432435198,52848448,0.0056,0.081,0.0168,27379,0.02069922123896337,0.02050428063428994,0.09450329802118727,-0.09999999999999998,1.0
51,2012-09-01,433581516,53122938,0.0045,0.078,0.0172,25451,0.0026508434218622512,0.005193908437954507,-0.0704189342196574,-0.1333333333333333,1.9999999999999996
52,2012-10-01,502423446,61335698,-0.0004,0.078,0.0175,27483,0.1587750571913218,0.15459913004058626,0.07983969195709402,-0.11363636363636376,-0.8095238095238095
53,2012-11-01,486255152,59245792,-0.0047,0.077,0.0165,32751,-0.032180612048905065,-0.034073240676253495,0.1916821307717498,-0.10465116279069764,4.875
54,2012-12-01,495858482,60479766,-0.0027,0.079,0.0172,39841,0.019749569666256205,0.020828044631422942,0.2164819394827639,-0.07058823529411773,0.08000000000000007
55,2013-01-01,1302797200,162573914,0.003,0.08,0.0191,28098,1.6273568917189565,1.688071147629771,-0.294746617805778,-0.03614457831325302,-0.31818181818181823
56,2013-02-01,1352358644,169192803,0.0082,0.077,0.0198,25253,0.038042332298534265,0.04071310603987796,-0.10125275820343084,-0.07228915662650603,0.8636363636363638
57,2013-03-01,1474620822,184265051,0.0026,0.075,0.0196,27283,0.0904066229342636,0.08908326910335541,0.0803864887340118,-0.08536585365853655,-0.6578947368421053
58,2013-04-01,1545742680,192063531,-0.001,0.076,0.0175,27401,0.04823060744764121,0.042322078753827284,0.0043250375691822746,-0.07317073170731703,-1.3333333333333333
59,2013-05-01,3206820724,193215556,0.0018,0.075,0.0194,28055,1.0746148537478435,0.0059981454782272025,0.023867742053209736,-0.08536585365853655,-2.5
